samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	-39.05616	-37.42882	0	37.42882	-21.15542	-19.52808	-21.15542	-8.1367	-6.50936	-13.83239	-8.95037	-4.06835	0
1	-31.73313	-34.98781	-4.88202	32.5468	-13.83239	-19.52808	-21.15542	-5.69569	-4.06835	-11.39138	-6.50936	-1.62734	0
2	-9.76404	-27.66478	-19.52808	17.90074	4.06835	-24.4101	-21.15542	-5.69569	-1.62734	-8.95037	-4.06835	-1.62734	0
3	-2.44101	-25.22377	-24.4101	13.01872	11.39138	-24.4101	-18.71441	-3.25468	0.81367	-8.95037	-4.06835	-1.62734	0
4	0.81367	-20.34175	-21.96909	8.1367	11.39138	-19.52808	-13.83239	2.44101	6.50936	-6.50936	-1.62734	0.81367	0
5	13.01872	-10.57771	-24.4101	-2.44101	18.71441	-17.08707	-8.95037	7.32303	8.95037	-4.06835	1.62734	4.06835	0
6	22.78276	-3.25468	-26.85111	-9.76404	23.59643	-14.64606	-4.06835	12.20505	13.83239	-4.06835	1.62734	6.50936	0
7	44.75185	4.88202	-41.49717	-24.4101	43.12451	-17.08707	-4.06835	12.20505	13.83239	-4.06835	1.62734	4.06835	0
8	37.42882	-0.81367	-39.05616	-19.52808	38.24249	-19.52808	-4.06835	12.20505	16.2734	-8.95037	-1.62734	0.81367	0
9	34.98781	-0.81367	-36.61515	-17.08707	35.80148	-17.08707	-6.50936	12.20505	13.83239	-11.39138	-1.62734	-1.62734	0
10	32.5468	-0.81367	-34.17414	-17.08707	33.36047	-17.08707	-8.95037	9.76404	6.50936	-11.39138	-1.62734	-4.06835	0
11	22.78276	-3.25468	-26.85111	-9.76404	23.59643	-14.64606	-13.83239	2.44101	0.81367	-13.83239	-4.06835	-6.50936	0
12	3.25468	-8.1367	-12.20505	0	6.50936	-9.76404	-13.83239	-3.25468	-4.06835	-11.39138	-4.06835	-6.50936	0
13	-2.44101	-10.57771	-9.76404	5.69569	4.06835	-9.76404	-16.2734	-3.25468	-8.95037	-11.39138	-4.06835	-8.95037	0
14	8.1367	-0.81367	-9.76404	-4.88202	8.95037	-4.88202	-13.83239	-3.25468	-6.50936	-8.95037	-1.62734	-6.50936	0
15	22.78276	17.08707	-7.32303	-19.52808	16.2734	5.69569	-11.39138	0	-6.50936	-6.50936	-1.62734	-6.50936	0
16	37.42882	26.85111	-12.20505	-31.73313	26.03744	8.1367	-8.95037	0	-6.50936	-8.95037	-1.62734	-8.95037	0
17	42.31084	31.73313	-12.20505	-36.61515	28.47845	10.57771	-4.06835	4.88202	-4.06835	-13.83239	-4.06835	-13.83239	0
18	64.27993	41.49717	-24.4101	-53.70222	45.56552	10.57771	-1.62734	4.88202	-4.06835	-13.83239	-6.50936	-16.2734	0
19	86.24902	58.58424	-29.29212	-73.2303	57.77057	15.45973	0.81367	9.76404	-1.62734	-13.83239	-4.06835	-16.2734	0
20	88.69003	61.02525	-29.29212	-75.67131	60.21158	17.90074	3.25468	9.76404	0.81367	-11.39138	-1.62734	-13.83239	0
21	64.27993	48.8202	-17.08707	-56.14323	40.6835	17.90074	-1.62734	4.88202	-4.06835	-11.39138	-4.06835	-13.83239	0
22	47.19286	43.93818	-4.88202	-46.37919	26.03744	20.34175	-4.06835	4.88202	-1.62734	-4.06835	1.62734	-6.50936	0
23	30.10579	46.37919	15.45973	-39.05616	8.95037	32.5468	-4.06835	7.32303	0.81367	6.50936	13.83239	4.06835	0
24	20.34175	48.8202	27.66478	-34.17414	-4.06835	39.86983	-11.39138	0	-1.62734	13.83239	21.15542	11.39138	0
25	20.34175	51.26121	30.10579	-36.61515	-4.06835	42.31084	-21.15542	-5.69569	-4.06835	16.2734	23.59643	16.2734	0
26	34.98781	63.46626	27.66478	-48.8202	4.06835	47.19286	-26.03744	-13.01872	-6.50936	21.15542	28.47845	21.15542	0
27	44.75185	75.67131	30.10579	-61.02525	8.95037	54.51589	-33.36047	-20.34175	-13.83239	21.15542	30.91946	26.03744	0
28	47.19286	78.11232	30.10579	-63.46626	8.95037	54.51589	-40.6835	-30.10579	-21.15542	21.15542	30.91946	26.03744	0
29	54.51589	73.2303	17.90074	-63.46626	18.71441	47.19286	-50.44754	-39.86983	-30.91946	18.71441	28.47845	23.59643	0
30	66.72094	68.34828	0	-68.34828	33.36047	34.98781	-57.77057	-49.63387	-40.6835	13.83239	26.03744	18.71441	0
31	69.16195	65.90727	-4.88202	-68.34828	38.24249	32.5468	-60.21158	-54.51589	-43.12451	16.2734	28.47845	18.71441	0
32	64.27993	53.70222	-12.20505	-58.58424	38.24249	22.78276	-60.21158	-56.9569	-45.56552	18.71441	30.91946	21.15542	0
33	52.07488	36.61515	-17.08707	-43.93818	35.80148	10.57771	-57.77057	-52.07488	-40.6835	26.03744	35.80148	26.03744	0
34	54.51589	26.85111	-29.29212	-41.49717	43.12451	0	-52.88855	-47.19286	-33.36047	35.80148	45.56552	33.36047	0
35	56.9569	19.52808	-39.05616	-39.05616	48.00653	-9.76404	-50.44754	-44.75185	-28.47845	38.24249	48.00653	35.80148	0
36	52.07488	9.76404	-43.93818	-31.73313	48.00653	-17.08707	-55.32956	-44.75185	-30.91946	35.80148	48.00653	33.36047	0
37	52.07488	4.88202	-48.8202	-29.29212	50.44754	-21.96909	-60.21158	-49.63387	-33.36047	30.91946	43.12451	28.47845	0
38	30.10579	-10.57771	-41.49717	-9.76404	35.80148	-24.4101	-67.53461	-56.9569	-40.6835	21.15542	35.80148	18.71441	0
39	20.34175	-17.90074	-39.05616	-2.44101	28.47845	-26.85111	-77.29865	-64.27993	-48.00653	11.39138	26.03744	11.39138	0
