samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	0.81367	-134.25555	-135.88289	65.90727	68.34828	-135.06922	1.62734	-87.06269	-85.43535	-80.55333	-103.33609	-61.02525	0
1	0.81367	-136.69656	-138.3239	65.90727	68.34828	-137.51023	1.62734	-84.62168	-85.43535	-78.11232	-100.89508	-58.58424	0
2	0.81367	-141.57858	-143.20592	68.34828	70.78929	-142.39225	4.88202	-82.18067	-85.43535	-75.67131	-96.01306	-56.14323	0
3	0.81367	-144.01959	-145.64693	70.78929	73.2303	-144.83326	4.88202	-82.18067	-90.31737	-78.11232	-96.01306	-53.70222	0
4	-1.62734	-146.4606	-145.64693	73.2303	70.78929	-147.27427	7.32303	-82.18067	-92.75838	-82.99434	-93.57205	-48.8202	0
5	-4.06835	-146.4606	-143.20592	73.2303	68.34828	-144.83326	7.32303	-82.18067	-92.75838	-90.31737	-93.57205	-48.8202	0
6	-4.06835	-141.57858	-138.3239	70.78929	65.90727	-139.95124	4.88202	-84.62168	-95.19939	-92.75838	-98.45407	-48.8202	0
7	-1.62734	-134.25555	-133.44188	65.90727	65.90727	-135.06922	1.62734	-91.94471	-97.6404	-95.19939	-103.33609	-51.26121	0
8	-1.62734	-131.81454	-131.00087	65.90727	63.46626	-132.62821	1.62734	-96.82673	-97.6404	-92.75838	-105.7771	-53.70222	0
9	-1.62734	-124.49151	-123.67784	61.02525	61.02525	-125.30518	-0.81367	-99.26774	-97.6404	-92.75838	-108.21811	-56.14323	0
10	-4.06835	-122.0505	-118.79582	61.02525	56.14323	-120.42316	-3.25468	-101.70875	-97.6404	-92.75838	-110.65912	-56.14323	0
11	-4.06835	-119.60949	-116.35481	61.02525	56.14323	-117.98215	-3.25468	-101.70875	-100.08141	-90.31737	-113.10013	-58.58424	0
12	-6.50936	-117.16848	-111.47279	61.02525	51.26121	-115.54114	-3.25468	-101.70875	-102.52242	-85.43535	-110.65912	-58.58424	0
13	-11.39138	-119.60949	-109.03178	63.46626	48.8202	-115.54114	-0.81367	-99.26774	-104.96343	-85.43535	-108.21811	-56.14323	0
14	-18.71441	-119.60949	-101.70875	68.34828	41.49717	-110.65912	1.62734	-96.82673	-104.96343	-87.87636	-108.21811	-51.26121	0
15	-21.15542	-119.60949	-99.26774	68.34828	39.05616	-110.65912	4.88202	-94.38572	-100.08141	-90.31737	-108.21811	-48.8202	0
16	-18.71441	-119.60949	-101.70875	68.34828	41.49717	-110.65912	7.32303	-91.94471	-100.08141	-92.75838	-108.21811	-48.8202	0
17	-13.83239	-112.28646	-99.26774	61.02525	41.49717	-105.7771	9.76404	-91.94471	-97.6404	-90.31737	-110.65912	-48.8202	0
18	-8.95037	-104.96343	-96.82673	56.14323	43.93818	-100.89508	9.76404	-94.38572	-92.75838	-87.87636	-113.10013	-51.26121	0
19	-4.06835	-102.52242	-99.26774	51.26121	46.37919	-100.89508	9.76404	-94.38572	-90.31737	-85.43535	-113.10013	-51.26121	0
20	0.81367	-92.75838	-94.38572	43.93818	46.37919	-93.57205	9.76404	-91.94471	-87.87636	-85.43535	-113.10013	-51.26121	0
21	4.06835	-80.55333	-84.62168	36.61515	43.93818	-81.367	7.32303	-89.5037	-87.87636	-82.99434	-113.10013	-51.26121	0
22	4.06835	-70.78929	-74.85764	31.73313	39.05616	-71.60296	9.76404	-87.06269	-87.87636	-78.11232	-108.21811	-48.8202	0
23	4.06835	-63.46626	-67.53461	29.29212	34.17414	-64.27993	12.20505	-82.18067	-87.87636	-73.2303	-103.33609	-41.49717	0
24	0.81367	-61.02525	-62.65259	29.29212	31.73313	-61.83892	19.52808	-79.73966	-82.99434	-73.2303	-98.45407	-34.17414	0
25	0.81367	-51.26121	-52.88855	24.4101	26.85111	-52.07488	24.4101	-77.29865	-80.55333	-75.67131	-96.01306	-31.73313	0
26	-1.62734	-46.37919	-45.56552	21.96909	21.96909	-47.19286	26.85111	-77.29865	-80.55333	-75.67131	-98.45407	-31.73313	0
27	-4.06835	-43.93818	-40.6835	21.96909	17.08707	-42.31084	31.73313	-77.29865	-78.11232	-70.78929	-98.45407	-31.73313	0
28	-4.06835	-41.49717	-38.24249	21.96909	17.08707	-39.86983	31.73313	-77.29865	-73.2303	-65.90727	-98.45407	-31.73313	0
29	0.81367	-39.05616	-40.6835	17.08707	19.52808	-39.86983	31.73313	-77.29865	-70.78929	-63.46626	-98.45407	-31.73313	0
30	0.81367	-34.17414	-35.80148	14.64606	17.08707	-34.98781	31.73313	-77.29865	-70.78929	-63.46626	-98.45407	-31.73313	0
31	4.06835	-26.85111	-30.91946	9.76404	17.08707	-27.66478	31.73313	-74.85764	-70.78929	-58.58424	-96.01306	-29.29212	0
32	6.50936	-21.96909	-28.47845	7.32303	17.08707	-25.22377	31.73313	-72.41663	-68.34828	-53.70222	-91.13104	-26.85111	0
33	11.39138	-19.52808	-30.91946	4.06835	19.52808	-25.22377	31.73313	-67.53461	-68.34828	-48.8202	-83.80801	-17.08707	0
34	13.83239	-12.20505	-26.03744	-0.81367	19.52808	-17.90074	29.29212	-65.0936	-65.90727	-48.8202	-76.48498	-11.39138	0
35	13.83239	-4.06835	-18.71441	-5.69569	17.08707	-9.76404	26.85111	-65.0936	-63.46626	-51.26121	-71.60296	-6.50936	0
36	8.95037	3.25468	-5.69569	-5.69569	6.50936	0	19.52808	-69.97562	-63.46626	-53.70222	-71.60296	-6.50936	0
37	6.50936	8.1367	1.62734	-8.1367	1.62734	4.88202	9.76404	-74.85764	-63.46626	-51.26121	-71.60296	-4.06835	0
38	4.06835	13.01872	8.95037	-8.1367	-3.25468	12.20505	1.62734	-82.18067	-63.46626	-48.8202	-69.16195	-1.62734	0
39	4.06835	17.90074	13.83239	-10.57771	-5.69569	17.08707	-8.1367	-87.06269	-61.02525	-43.93818	-66.72094	3.25468	0
40	4.06835	25.22377	21.15542	-15.45973	-8.1367	24.4101	-15.45973	-87.06269	-58.58424	-41.49717	-64.27993	5.69569	0
41	4.06835	32.5468	28.47845	-17.90074	-13.01872	31.73313	-22.78276	-89.5037	-56.14323	-36.61515	-59.39791	10.57771	0
42	6.50936	42.31084	35.80148	-25.22377	-15.45973	39.05616	-25.22377	-87.06269	-56.14323	-31.73313	-54.51589	13.01872	0
43	8.95037	52.07488	43.12451	-30.10579	-17.90074	48.8202	-25.22377	-87.06269	-61.02525	-31.73313	-49.63387	17.90074	0
44	16.2734	61.83892	45.56552	-39.86983	-15.45973	53.70222	-27.66478	-84.62168	-61.02525	-34.17414	-47.19286	20.34175	0
45	18.71441	69.16195	50.44754	-44.75185	-15.45973	61.02525	-27.66478	-84.62168	-61.02525	-39.05616	-47.19286	20.34175	0
46	23.59643	71.60296	48.00653	-47.19286	-13.01872	61.02525	-27.66478	-87.06269	-63.46626	-43.93818	-52.07488	17.90074	0
47	28.47845	71.60296	43.12451	-49.63387	-8.1367	58.58424	-30.10579	-91.94471	-63.46626	-46.37919	-56.9569	15.45973	0
48	35.80148	69.16195	33.36047	-52.07488	1.62734	51.26121	-32.5468	-96.82673	-63.46626	-43.93818	-56.9569	13.01872	0
49	43.12451	64.27993	21.15542	-54.51589	12.20505	43.93818	-37.42882	-99.26774	-61.02525	-43.93818	-56.9569	13.01872	0
50	43.12451	52.07488	8.95037	-47.19286	17.08707	31.73313	-37.42882	-96.82673	-58.58424	-41.49717	-52.07488	15.45973	0
51	43.12451	42.31084	-0.81367	-42.31084	21.96909	21.96909	-39.86983	-94.38572	-58.58424	-39.05616	-49.63387	15.45973	0
52	43.12451	39.86983	-3.25468	-42.31084	24.4101	19.52808	-42.31084	-94.38572	-61.02525	-36.61515	-47.19286	15.45973	0
53	43.12451	44.75185	1.62734	-44.75185	21.96909	24.4101	-42.31084	-94.38572	-65.90727	-39.05616	-44.75185	17.90074	0
54	38.24249	42.31084	4.06835	-39.86983	17.08707	24.4101	-39.86983	-96.82673	-68.34828	-43.93818	-44.75185	20.34175	0
55	30.91946	37.42882	6.50936	-34.98781	12.20505	21.96909	-34.98781	-96.82673	-70.78929	-48.8202	-44.75185	20.34175	0
56	28.47845	30.10579	1.62734	-30.10579	14.64606	17.08707	-32.5468	-96.82673	-70.78929	-51.26121	-47.19286	17.90074	0
57	28.47845	25.22377	-3.25468	-27.66478	17.08707	12.20505	-30.10579	-101.70875	-75.67131	-53.70222	-54.51589	10.57771	0
58	23.59643	17.90074	-5.69569	-20.34175	14.64606	7.32303	-27.66478	-104.14976	-73.2303	-53.70222	-56.9569	8.1367	0
59	16.2734	3.25468	-13.83239	-10.57771	14.64606	-4.88202	-20.34175	-99.26774	-68.34828	-48.8202	-56.9569	8.1367	0
60	11.39138	-8.95037	-21.15542	-0.81367	17.08707	-15.45973	-17.90074	-96.82673	-65.90727	-48.8202	-56.9569	5.69569	0
61	4.06835	-17.08707	-21.15542	4.06835	12.20505	-17.90074	-15.45973	-94.38572	-65.90727	-48.8202	-59.39791	0.81367	0
62	-4.06835	-21.96909	-18.71441	12.20505	6.50936	-20.34175	-13.01872	-94.38572	-70.78929	-48.8202	-61.83892	-4.06835	0
63	-16.2734	-21.96909	-5.69569	17.08707	-5.69569	-15.45973	-10.57771	-91.94471	-75.67131	-51.26121	-61.83892	-4.06835	0
64	-23.59643	-24.4101	-0.81367	21.96909	-13.01872	-13.01872	-8.1367	-94.38572	-78.11232	-58.58424	-66.72094	-8.95037	0
65	-23.59643	-29.29212	-5.69569	24.4101	-10.57771	-17.90074	-10.57771	-99.26774	-85.43535	-73.2303	-76.48498	-17.08707	0
66	-23.59643	-31.73313	-8.1367	26.85111	-8.1367	-20.34175	-13.01872	-104.14976	-92.75838	-82.99434	-86.24902	-24.4101	0
67	-23.59643	-39.05616	-16.2734	29.29212	-5.69569	-27.66478	-13.01872	-109.03178	-95.19939	-85.43535	-93.57205	-31.73313	0
68	-23.59643	-46.37919	-23.59643	34.17414	-0.81367	-34.98781	-13.01872	-113.9138	-97.6404	-87.87636	-98.45407	-39.05616	0
69	-18.71441	-56.14323	-38.24249	36.61515	9.76404	-47.19286	-13.01872	-116.35481	-97.6404	-90.31737	-103.33609	-41.49717	0
70	-18.71441	-65.90727	-48.00653	41.49717	14.64606	-56.9569	-13.01872	-113.9138	-97.6404	-90.31737	-103.33609	-41.49717	0
71	-18.71441	-73.2303	-55.32956	43.93818	17.08707	-64.27993	-10.57771	-106.59077	-95.19939	-85.43535	-100.89508	-39.05616	0
72	-23.59643	-78.11232	-55.32956	48.8202	14.64606	-66.72094	-5.69569	-104.14976	-92.75838	-80.55333	-98.45407	-36.61515	0
73	-26.03744	-78.11232	-52.88855	51.26121	12.20505	-66.72094	-5.69569	-101.70875	-95.19939	-80.55333	-96.01306	-31.73313	0
74	-26.03744	-75.67131	-50.44754	48.8202	12.20505	-64.27993	-5.69569	-101.70875	-97.6404	-85.43535	-93.57205	-29.29212	0
75	-26.03744	-68.34828	-43.12451	46.37919	6.50936	-56.9569	-5.69569	-101.70875	-100.08141	-90.31737	-93.57205	-29.29212	0
76	-23.59643	-63.46626	-40.6835	41.49717	6.50936	-52.07488	-5.69569	-101.70875	-100.08141	-90.31737	-96.01306	-31.73313	0
77	-23.59643	-58.58424	-35.80148	39.05616	4.06835	-47.19286	-3.25468	-104.14976	-97.6404	-90.31737	-98.45407	-34.17414	0
78	-23.59643	-56.14323	-33.36047	39.05616	4.06835	-44.75185	-3.25468	-109.03178	-97.6404	-87.87636	-100.89508	-39.05616	0
79	-23.59643	-56.14323	-33.36047	39.05616	4.06835	-44.75185	-3.25468	-109.03178	-97.6404	-85.43535	-100.89508	-41.49717	0
80	-23.59643	-56.14323	-33.36047	39.05616	4.06835	-44.75185	-3.25468	-109.03178	-95.19939	-85.43535	-100.89508	-43.93818	0
81	-21.15542	-56.14323	-35.80148	36.61515	6.50936	-47.19286	-3.25468	-104.14976	-92.75838	-80.55333	-100.89508	-46.37919	0
82	-23.59643	-61.02525	-38.24249	41.49717	6.50936	-49.63387	-3.25468	-101.70875	-92.75838	-75.67131	-98.45407	-46.37919	0
83	-26.03744	-61.02525	-35.80148	41.49717	4.06835	-49.63387	-3.25468	-99.26774	-95.19939	-75.67131	-93.57205	-41.49717	0
84	-28.47845	-58.58424	-30.91946	41.49717	-0.81367	-44.75185	-3.25468	-99.26774	-97.6404	-80.55333	-93.57205	-39.05616	0
85	-28.47845	-58.58424	-30.91946	41.49717	-0.81367	-44.75185	-3.25468	-99.26774	-97.6404	-82.99434	-96.01306	-39.05616	0
86	-28.47845	-58.58424	-30.91946	41.49717	-0.81367	-44.75185	-0.81367	-96.82673	-97.6404	-82.99434	-98.45407	-39.05616	0
