samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	0	-2.44101	-2.44101	0.81367	0.81367	-2.44101	1.62734	0.81367	0.81367	-2.44101	2.44101	0	0
1	-0.81367	-10.57771	-9.76404	5.69569	3.25468	-10.57771	8.95037	4.06835	3.25468	-13.83239	12.20505	0	0
2	-3.25468	-18.71441	-15.45973	11.39138	4.06835	-17.90074	18.71441	7.32303	7.32303	-32.5468	26.03744	-1.62734	0
3	-6.50936	-24.4101	-16.2734	17.08707	1.62734	-21.15542	26.03744	8.1367	10.57771	-54.51589	39.05616	-6.50936	0
4	-10.57771	-25.22377	-11.39138	20.34175	-3.25468	-18.71441	30.10579	7.32303	11.39138	-77.29865	48.00653	-14.64606	0
5	-16.2734	-21.15542	-1.62734	21.96909	-11.39138	-12.20505	30.10579	2.44101	8.1367	-99.26774	52.88855	-26.03744	0
6	-21.96909	-18.71441	5.69569	23.59643	-17.90074	-6.50936	27.66478	-1.62734	3.25468	-117.16848	53.70222	-35.80148	0
7	-24.4101	-21.15542	6.50936	26.03744	-20.34175	-7.32303	27.66478	-4.88202	0	-126.93252	56.14323	-41.49717	0
8	-24.4101	-26.03744	1.62734	28.47845	-18.71441	-13.83239	30.91946	-4.06835	-2.44101	-127.74619	61.02525	-40.6835	0
9	-21.15542	-33.36047	-10.57771	30.91946	-13.83239	-30.10579	34.98781	0	0	-122.86417	69.16195	-35.80148	0
10	-17.90074	-47.19286	-30.10579	35.80148	-3.25468	-53.70222	39.86983	8.1367	6.50936	-113.9138	78.92599	-26.85111	0
11	-16.2734	-66.72094	-57.77057	43.12451	10.57771	-77.29865	46.37919	17.90074	17.08707	-100.89508	90.31737	-15.45973	0
12	-17.90074	-88.69003	-88.69003	53.70222	26.03744	-97.6404	53.70222	27.66478	27.66478	-87.06269	99.26774	-4.88202	0
13	-22.78276	-107.40444	-111.47279	63.46626	35.80148	-116.35481	60.21158	34.17414	35.80148	-76.48498	104.14976	0.81367	0
14	-27.66478	-115.54114	-117.16848	69.97562	37.42882	-129.37353	64.27993	38.24249	40.6835	-73.2303	101.70875	0	0
15	-29.29212	-114.72747	-112.28646	69.97562	35.80148	-131.81454	65.90727	38.24249	42.31084	-73.2303	96.82673	-3.25468	0
16	-26.85111	-109.03178	-104.96343	65.90727	34.17414	-126.93252	65.90727	36.61515	41.49717	-70.78929	92.75838	-5.69569	0
17	-22.78276	-100.89508	-95.19939	60.21158	32.5468	-116.35481	65.0936	32.5468	41.49717	-65.90727	89.5037	-8.95037	0
18	-19.52808	-93.57205	-87.06269	55.32956	31.73313	-106.59077	62.65259	28.47845	41.49717	-60.21158	87.06269	-11.39138	0
19	-15.45973	-87.87636	-81.367	49.63387	30.91946	-97.6404	58.58424	25.22377	40.6835	-54.51589	86.24902	-12.20505	0
