samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	-23.59643	91.94471	113.9138	-34.98781	-69.16195	103.33609	-50.44754	-2.44101	74.85764	52.88855	39.05616	109.03178	0
1	-21.15542	94.38572	113.9138	-37.42882	-66.72094	103.33609	-50.44754	-2.44101	74.85764	55.32956	43.93818	111.47279	0
2	-13.83239	104.14976	116.35481	-44.75185	-64.27993	110.65912	-50.44754	0	79.73966	62.65259	48.8202	113.9138	0
3	-4.06835	113.9138	116.35481	-54.51589	-59.39791	115.54114	-48.00653	4.88202	84.62168	69.97562	56.14323	118.79582	0
4	4.06835	123.67784	118.79582	-64.27993	-56.9569	122.86417	-45.56552	7.32303	87.06269	69.97562	58.58424	123.67784	0
5	8.95037	131.00087	121.23683	-69.16195	-56.9569	127.74619	-40.6835	7.32303	84.62168	67.53461	58.58424	126.11885	0
6	18.71441	138.3239	118.79582	-78.92599	-49.63387	130.1872	-35.80148	9.76404	87.06269	69.97562	61.02525	126.11885	0
7	28.47845	152.96996	123.67784	-91.13104	-47.19286	139.95124	-33.36047	14.64606	91.94471	74.85764	68.34828	128.55986	0
8	38.24249	167.61602	128.55986	-103.33609	-44.75185	149.71528	-33.36047	17.90074	99.26774	82.18067	75.67131	133.44188	0
9	45.56552	174.93905	128.55986	-110.65912	-42.31084	152.15629	-33.36047	17.90074	101.70875	82.18067	78.11232	133.44188	0
10	48.00653	179.82107	131.00087	-113.10013	-42.31084	157.03831	-35.80148	20.34175	101.70875	82.18067	78.11232	133.44188	0
11	45.56552	179.82107	133.44188	-113.10013	-44.75185	157.03831	-40.6835	17.90074	101.70875	79.73966	78.11232	133.44188	0
12	38.24249	172.49804	133.44188	-105.7771	-47.19286	154.5973	-48.00653	12.20505	94.38572	77.29865	75.67131	131.00087	0
13	30.91946	165.17501	133.44188	-98.45407	-52.07488	149.71528	-55.32956	2.44101	89.5037	72.41663	73.2303	128.55986	0
14	23.59643	157.85198	133.44188	-91.13104	-54.51589	147.27427	-65.0936	-7.32303	82.18067	67.53461	68.34828	126.11885	0
15	23.59643	148.08794	123.67784	-86.24902	-49.63387	137.51023	-74.85764	-14.64606	77.29865	60.21158	61.02525	123.67784	0
16	21.15542	145.64693	123.67784	-83.80801	-52.07488	135.06922	-79.73966	-24.4101	69.97562	52.88855	53.70222	121.23683	0
17	18.71441	138.3239	118.79582	-78.92599	-49.63387	130.1872	-87.06269	-31.73313	62.65259	48.00653	48.8202	113.9138	0
18	18.71441	131.00087	111.47279	-74.04397	-47.19286	122.86417	-89.5037	-36.61515	57.77057	43.12451	43.93818	106.59077	0
19	18.71441	123.67784	104.14976	-71.60296	-42.31084	115.54114	-96.82673	-43.93818	50.44754	35.80148	36.61515	99.26774	0
