samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	1.62734	-2.44101	-4.88202	0	3.25468	-3.25468	6.50936	13.83239	8.95037	3.25468	0.81367	0	0
1	10.57771	-11.39138	-21.96909	0	16.2734	-17.08707	30.10579	62.65259	40.6835	16.2734	5.69569	3.25468	0
2	24.4101	-26.03744	-51.26121	0	38.24249	-39.05616	67.53461	141.57858	92.75838	36.61515	13.83239	7.32303	0
3	41.49717	-43.12451	-84.62168	0	62.65259	-64.27993	108.21811	229.45494	151.34262	60.21158	23.59643	11.39138	0
4	57.77057	-60.21158	-118.79582	0	87.87636	-89.5037	145.64693	312.44928	206.67218	82.99434	31.73313	14.64606	0
5	73.2303	-76.48498	-150.52895	0.81367	112.28646	-113.9138	175.75272	383.23857	255.49238	101.70875	37.42882	14.64606	0
6	87.06269	-92.75838	-179.82107	1.62734	133.44188	-136.69656	197.72181	439.3818	292.9212	113.9138	39.05616	11.39138	0
7	97.6404	-107.40444	-205.85851	3.25468	151.34262	-157.03831	210.74053	478.43796	319.77231	120.42316	36.61515	5.69569	0
8	107.40444	-119.60949	-227.8276	4.88202	167.61602	-174.12538	216.43622	502.84806	336.04571	121.23683	31.73313	-0.81367	0
9	114.72747	-130.1872	-245.72834	6.50936	179.82107	-187.95777	216.43622	514.23944	344.18241	117.98215	25.22377	-8.1367	0
10	122.0505	-137.51023	-260.3744	6.50936	190.39878	-199.34915	210.74053	515.05311	344.99608	112.28646	17.90074	-15.45973	0
11	127.74619	-143.20592	-270.95211	6.50936	198.53548	-207.48585	202.60383	508.54375	339.30039	104.14976	10.57771	-20.34175	0
12	131.81454	-146.4606	-279.08881	6.50936	205.04484	-213.18154	190.39878	497.15237	330.35002	95.19939	2.44101	-24.4101	0
13	135.06922	-149.71528	-285.59817	5.69569	209.92686	-217.24989	177.38006	482.50631	318.14497	84.62168	-4.88202	-28.47845	0
14	136.69656	-151.34262	-289.66652	5.69569	213.18154	-220.50457	163.54767	465.41924	305.12625	73.2303	-14.64606	-32.5468	0
15	137.51023	-153.78363	-291.29386	6.50936	214.80888	-222.94558	149.71528	447.5185	291.29386	62.65259	-24.4101	-36.61515	0
16	136.69656	-155.41097	-292.9212	8.1367	214.80888	-223.75925	136.69656	429.61776	277.46147	52.07488	-33.36047	-40.6835	0
17	135.88289	-157.03831	-293.73487	9.76404	213.99521	-225.38659	124.49151	412.53069	264.44275	42.31084	-40.6835	-43.12451	0
18	133.44188	-159.47932	-293.73487	11.39138	213.18154	-226.20026	113.9138	395.44362	251.42403	34.17414	-47.19286	-44.75185	0
19	131.81454	-161.10666	-293.73487	13.01872	212.36787	-227.8276	104.14976	379.17022	240.03265	27.66478	-52.07488	-45.56552	0
20	130.1872	-163.54767	-293.73487	15.45973	211.5542	-228.64127	95.19939	362.08315	227.8276	21.96909	-55.32956	-46.37919	0
21	126.93252	-165.17501	-292.9212	17.90074	209.11319	-228.64127	86.24902	344.99608	214.80888	16.2734	-57.77057	-46.37919	0
22	122.86417	-165.98868	-289.66652	20.34175	205.85851	-227.8276	77.29865	326.28167	201.79016	11.39138	-60.21158	-48.00653	0
23	117.16848	-165.98868	-283.15716	23.59643	199.34915	-224.57292	67.53461	307.56726	187.95777	5.69569	-62.65259	-49.63387	0
24	109.84545	-163.54767	-274.20679	25.22377	192.02612	-218.87723	57.77057	287.22551	174.12538	0	-65.90727	-52.07488	0
25	103.33609	-159.47932	-262.81541	26.85111	182.26208	-210.74053	48.00653	266.07009	160.29299	-4.88202	-69.97562	-53.70222	0
26	96.01306	-153.78363	-249.79669	27.66478	172.49804	-201.79016	38.24249	244.101	145.64693	-11.39138	-74.04397	-55.32956	0
27	89.5037	-146.4606	-236.77797	27.66478	162.734	-191.21245	29.29212	222.13191	130.1872	-17.08707	-77.29865	-56.9569	0
28	82.99434	-139.95124	-223.75925	26.85111	152.96996	-181.44841	20.34175	200.16282	114.72747	-22.78276	-80.55333	-56.9569	0
29	77.29865	-134.25555	-211.5542	26.85111	144.01959	-172.49804	12.20505	178.19373	98.45407	-29.29212	-82.99434	-57.77057	0
30	70.78929	-127.74619	-199.34915	27.66478	135.06922	-163.54767	4.06835	156.22464	82.18067	-34.98781	-86.24902	-57.77057	0
31	64.27993	-122.0505	-187.1441	27.66478	125.30518	-154.5973	-3.25468	135.06922	65.0936	-40.6835	-88.69003	-58.58424	0
32	58.58424	-116.35481	-174.93905	27.66478	116.35481	-145.64693	-11.39138	114.72747	48.8202	-46.37919	-91.13104	-58.58424	0
33	52.88855	-109.03178	-162.734	26.85111	107.40444	-135.88289	-19.52808	96.01306	34.17414	-51.26121	-92.75838	-58.58424	0
34	47.19286	-102.52242	-150.52895	26.03744	98.45407	-126.11885	-27.66478	78.11232	20.34175	-53.70222	-92.75838	-56.9569	0
35	42.31084	-95.19939	-138.3239	25.22377	89.5037	-117.16848	-34.98781	62.65259	8.95037	-55.32956	-91.94471	-54.51589	0
36	37.42882	-89.5037	-127.74619	24.4101	82.18067	-108.21811	-41.49717	48.8202	0	-55.32956	-90.31737	-50.44754	0
37	32.5468	-84.62168	-117.98215	24.4101	74.85764	-100.89508	-46.37919	35.80148	-8.1367	-54.51589	-87.87636	-46.37919	0
38	26.85111	-80.55333	-108.21811	25.22377	67.53461	-94.38572	-49.63387	22.78276	-15.45973	-54.51589	-84.62168	-42.31084	0
39	21.15542	-77.29865	-99.26774	26.85111	60.21158	-88.69003	-53.70222	10.57771	-22.78276	-53.70222	-82.18067	-39.86983	0
40	15.45973	-73.2303	-89.5037	27.66478	52.07488	-81.367	-56.14323	0	-30.91946	-53.70222	-79.73966	-38.24249	0
41	9.76404	-68.34828	-78.92599	28.47845	43.93818	-74.04397	-59.39791	-11.39138	-39.05616	-54.51589	-77.29865	-38.24249	0
42	4.88202	-62.65259	-68.34828	27.66478	36.61515	-65.0936	-63.46626	-21.96909	-45.56552	-54.51589	-75.67131	-38.24249	0
43	0.81367	-54.51589	-56.14323	25.22377	28.47845	-55.32956	-67.53461	-30.91946	-51.26121	-55.32956	-74.85764	-38.24249	0
44	-2.44101	-47.19286	-44.75185	23.59643	20.34175	-45.56552	-70.78929	-39.05616	-56.9569	-56.9569	-73.2303	-36.61515	0
45	-5.69569	-39.86983	-34.17414	21.96909	13.83239	-36.61515	-74.85764	-46.37919	-61.02525	-58.58424	-71.60296	-34.17414	0
46	-8.95037	-33.36047	-24.4101	20.34175	6.50936	-29.29212	-78.92599	-53.70222	-64.27993	-60.21158	-69.16195	-30.91946	0
47	-13.01872	-28.47845	-15.45973	20.34175	0.81367	-21.96909	-82.99434	-60.21158	-67.53461	-60.21158	-66.72094	-26.85111	0
48	-16.2734	-24.4101	-8.1367	19.52808	-4.06835	-16.2734	-87.06269	-67.53461	-71.60296	-61.02525	-63.46626	-23.59643	0
49	-19.52808	-21.15542	-1.62734	19.52808	-8.95037	-11.39138	-91.13104	-75.67131	-77.29865	-61.83892	-62.65259	-21.96909	0
50	-21.96909	-17.90074	3.25468	18.71441	-13.01872	-6.50936	-94.38572	-82.99434	-82.99434	-64.27993	-63.46626	-22.78276	0
51	-23.59643	-13.83239	8.95037	17.90074	-17.08707	-2.44101	-97.6404	-90.31737	-90.31737	-68.34828	-66.72094	-24.4101	0
52	-25.22377	-10.57771	13.83239	17.08707	-20.34175	0.81367	-100.89508	-96.01306	-96.01306	-73.2303	-71.60296	-26.85111	0
53	-26.85111	-7.32303	18.71441	16.2734	-23.59643	4.88202	-102.52242	-100.89508	-101.70875	-78.11232	-76.48498	-28.47845	0
54	-28.47845	-4.88202	23.59643	15.45973	-26.03744	8.95037	-103.33609	-104.96343	-104.96343	-81.367	-80.55333	-29.29212	0
55	-30.10579	-1.62734	27.66478	15.45973	-29.29212	12.20505	-103.33609	-107.40444	-107.40444	-83.80801	-82.18067	-28.47845	0
56	-31.73313	0	30.91946	15.45973	-31.73313	14.64606	-101.70875	-108.21811	-108.21811	-82.99434	-81.367	-26.85111	0
57	-33.36047	0	33.36047	15.45973	-33.36047	16.2734	-100.08141	-109.03178	-107.40444	-81.367	-77.29865	-23.59643	0
58	-34.17414	0.81367	34.98781	15.45973	-34.98781	17.90074	-99.26774	-109.84545	-106.59077	-78.11232	-72.41663	-21.15542	0
59	-35.80148	0.81367	36.61515	16.2734	-36.61515	18.71441	-99.26774	-111.47279	-106.59077	-74.04397	-66.72094	-19.52808	0
60	-36.61515	3.25468	39.86983	15.45973	-38.24249	21.15542	-100.08141	-113.10013	-105.7771	-71.60296	-60.21158	-17.90074	0
61	-38.24249	6.50936	44.75185	14.64606	-41.49717	25.22377	-101.70875	-115.54114	-105.7771	-68.34828	-54.51589	-17.90074	0
62	-39.05616	11.39138	51.26121	13.01872	-45.56552	30.91946	-103.33609	-117.16848	-105.7771	-65.90727	-48.8202	-17.08707	0
63	-39.86983	17.08707	57.77057	9.76404	-49.63387	37.42882	-104.14976	-117.98215	-104.96343	-63.46626	-43.12451	-16.2734	0
64	-40.6835	22.78276	63.46626	7.32303	-52.07488	43.12451	-104.14976	-117.16848	-102.52242	-61.83892	-39.05616	-15.45973	0
65	-40.6835	26.03744	65.90727	5.69569	-53.70222	46.37919	-102.52242	-115.54114	-99.26774	-61.02525	-35.80148	-13.83239	0
66	-39.86983	26.03744	65.90727	5.69569	-53.70222	45.56552	-100.89508	-113.9138	-96.82673	-62.65259	-34.17414	-13.01872	0
67	-40.6835	22.78276	62.65259	7.32303	-52.07488	43.12451	-98.45407	-112.28646	-94.38572	-65.0936	-34.17414	-12.20505	0
68	-41.49717	16.2734	57.77057	11.39138	-50.44754	37.42882	-96.01306	-111.47279	-94.38572	-68.34828	-34.98781	-12.20505	0
69	-43.12451	9.76404	52.07488	15.45973	-48.00653	30.91946	-94.38572	-111.47279	-94.38572	-71.60296	-35.80148	-13.01872	0
70	-43.93818	2.44101	46.37919	19.52808	-45.56552	24.4101	-91.94471	-110.65912	-95.19939	-74.85764	-36.61515	-13.83239	0
71	-43.93818	-2.44101	40.6835	21.96909	-42.31084	18.71441	-89.5037	-110.65912	-96.82673	-76.48498	-37.42882	-14.64606	0
72	-43.12451	-4.88202	36.61515	23.59643	-40.6835	15.45973	-88.69003	-109.03178	-98.45407	-78.11232	-37.42882	-14.64606	0
73	-41.49717	-5.69569	34.98781	22.78276	-39.05616	13.83239	-87.87636	-108.21811	-99.26774	-78.11232	-38.24249	-13.83239	0
74	-40.6835	-4.06835	35.80148	21.96909	-39.05616	15.45973	-87.87636	-107.40444	-100.89508	-78.11232	-38.24249	-13.01872	0
75	-40.6835	-0.81367	39.05616	19.52808	-39.86983	18.71441	-88.69003	-107.40444	-101.70875	-78.11232	-39.05616	-11.39138	0
76	-41.49717	3.25468	44.75185	17.90074	-43.12451	24.4101	-89.5037	-107.40444	-103.33609	-77.29865	-40.6835	-10.57771	0
77	-42.31084	8.1367	51.26121	16.2734	-47.19286	30.10579	-90.31737	-108.21811	-104.14976	-77.29865	-43.12451	-11.39138	0
78	-43.93818	12.20505	56.9569	14.64606	-51.26121	34.98781	-91.94471	-109.84545	-105.7771	-77.29865	-46.37919	-13.01872	0
79	-45.56552	15.45973	61.02525	13.83239	-53.70222	38.24249	-92.75838	-111.47279	-106.59077	-77.29865	-51.26121	-15.45973	0
80	-47.19286	16.2734	63.46626	13.83239	-56.14323	39.86983	-92.75838	-113.10013	-108.21811	-77.29865	-55.32956	-17.90074	0
81	-48.00653	16.2734	64.27993	14.64606	-56.9569	40.6835	-93.57205	-113.9138	-109.84545	-77.29865	-57.77057	-18.71441	0
82	-48.8202	15.45973	63.46626	15.45973	-56.9569	39.86983	-93.57205	-114.72747	-109.84545	-75.67131	-58.58424	-17.90074	0
83	-48.8202	13.83239	62.65259	16.2734	-56.14323	38.24249	-93.57205	-114.72747	-109.84545	-72.41663	-56.9569	-15.45973	0
84	-48.00653	13.83239	61.83892	16.2734	-56.14323	38.24249	-93.57205	-114.72747	-109.03178	-69.16195	-53.70222	-12.20505	0
85	-48.00653	14.64606	62.65259	15.45973	-56.14323	38.24249	-93.57205	-113.9138	-108.21811	-65.90727	-50.44754	-9.76404	0
86	-48.00653	15.45973	63.46626	14.64606	-56.14323	39.86983	-93.57205	-113.10013	-106.59077	-62.65259	-48.00653	-8.95037	0
87	-48.00653	17.08707	65.0936	14.64606	-56.9569	40.6835	-92.75838	-111.47279	-104.96343	-61.02525	-47.19286	-9.76404	0
88	-48.00653	17.90074	65.90727	13.83239	-56.9569	41.49717	-91.13104	-109.84545	-103.33609	-61.02525	-48.8202	-12.20505	0
89	-48.00653	17.90074	65.90727	13.83239	-57.77057	41.49717	-89.5037	-109.03178	-102.52242	-62.65259	-52.07488	-17.08707	0
90	-48.8202	16.2734	65.0936	14.64606	-57.77057	40.6835	-87.87636	-107.40444	-103.33609	-65.90727	-56.14323	-21.15542	0
91	-49.63387	15.45973	65.0936	15.45973	-57.77057	39.86983	-86.24902	-106.59077	-103.33609	-69.97562	-59.39791	-24.4101	0
92	-50.44754	14.64606	65.0936	16.2734	-57.77057	39.86983	-85.43535	-105.7771	-104.14976	-72.41663	-61.02525	-26.03744	0
93	-51.26121	14.64606	65.0936	17.08707	-58.58424	39.86983	-84.62168	-104.14976	-103.33609	-73.2303	-60.21158	-25.22377	0
94	-51.26121	14.64606	65.90727	17.08707	-59.39791	39.86983	-83.80801	-101.70875	-101.70875	-71.60296	-57.77057	-22.78276	0
95	-52.07488	14.64606	66.72094	17.08707	-59.39791	40.6835	-82.18067	-100.08141	-98.45407	-67.53461	-52.88855	-19.52808	0
96	-52.88855	14.64606	66.72094	17.90074	-60.21158	40.6835	-81.367	-97.6404	-94.38572	-63.46626	-48.00653	-16.2734	0
97	-53.70222	13.83239	67.53461	18.71441	-61.02525	39.86983	-80.55333	-96.01306	-91.13104	-60.21158	-42.31084	-13.01872	0
98	-54.51589	13.01872	67.53461	19.52808	-61.02525	39.86983	-79.73966	-95.19939	-88.69003	-56.14323	-38.24249	-10.57771	0
99	-54.51589	13.01872	67.53461	19.52808	-61.02525	39.86983	-78.92599	-94.38572	-87.87636	-54.51589	-34.98781	-9.76404	0
100	-54.51589	13.01872	67.53461	19.52808	-61.02525	40.6835	-78.92599	-94.38572	-87.87636	-53.70222	-33.36047	-8.95037	1000	P+0
101	-53.70222	13.83239	67.53461	18.71441	-61.02525	40.6835	-76.48498	-94.38572	-88.69003	-54.51589	-32.5468	-9.76404	0
102	-52.88855	13.83239	66.72094	17.90074	-60.21158	40.6835	-73.2303	-93.57205	-89.5037	-56.14323	-33.36047	-9.76404	0
103	-51.26121	13.83239	65.0936	17.08707	-57.77057	39.05616	-68.34828	-91.94471	-89.5037	-58.58424	-34.17414	-11.39138	0
104	-49.63387	13.01872	61.83892	17.08707	-56.14323	37.42882	-63.46626	-91.13104	-90.31737	-61.02525	-35.80148	-12.20505	0
105	-48.00653	11.39138	59.39791	17.08707	-53.70222	35.80148	-59.39791	-90.31737	-90.31737	-63.46626	-38.24249	-14.64606	0
106	-47.19286	10.57771	57.77057	17.08707	-52.88855	34.17414	-56.14323	-90.31737	-91.13104	-65.90727	-41.49717	-18.71441	0
107	-46.37919	10.57771	56.9569	16.2734	-52.07488	34.17414	-53.70222	-91.13104	-92.75838	-69.16195	-45.56552	-22.78276	0
108	-45.56552	11.39138	56.9569	15.45973	-51.26121	34.17414	-52.07488	-91.13104	-94.38572	-73.2303	-49.63387	-28.47845	0
109	-44.75185	13.01872	57.77057	14.64606	-51.26121	35.80148	-49.63387	-91.13104	-94.38572	-78.11232	-54.51589	-34.17414	0
110	-43.93818	15.45973	58.58424	13.01872	-51.26121	37.42882	-47.19286	-89.5037	-93.57205	-82.18067	-58.58424	-39.05616	0
111	-42.31084	17.90074	60.21158	11.39138	-52.07488	39.05616	-43.93818	-87.06269	-91.13104	-85.43535	-60.21158	-43.12451	0
112	-40.6835	21.15542	61.83892	8.95037	-52.07488	41.49717	-39.86983	-83.80801	-87.06269	-87.87636	-60.21158	-44.75185	0
113	-39.86983	26.03744	65.90727	5.69569	-52.88855	46.37919	-34.98781	-78.92599	-81.367	-87.87636	-56.9569	-45.56552	0
114	-38.24249	33.36047	71.60296	1.62734	-55.32956	52.88855	-29.29212	-74.04397	-74.85764	-86.24902	-51.26121	-46.37919	0
115	-36.61515	43.12451	80.55333	-3.25468	-58.58424	61.83892	-22.78276	-68.34828	-68.34828	-82.18067	-43.12451	-45.56552	0
116	-34.98781	54.51589	89.5037	-9.76404	-62.65259	72.41663	-15.45973	-63.46626	-62.65259	-78.11232	-34.17414	-43.93818	0
117	-32.5468	65.90727	99.26774	-17.08707	-66.72094	82.99434	-8.1367	-59.39791	-57.77057	-74.04397	-25.22377	-42.31084	0
118	-30.91946	76.48498	107.40444	-22.78276	-69.16195	91.94471	-2.44101	-57.77057	-55.32956	-71.60296	-15.45973	-40.6835	0
119	-28.47845	84.62168	113.10013	-28.47845	-71.60296	98.45407	0.81367	-56.14323	-52.88855	-70.78929	-8.1367	-39.86983	0
120	-26.85111	89.5037	116.35481	-31.73313	-72.41663	103.33609	5.69569	-55.32956	-52.07488	-71.60296	-2.44101	-41.49717	0
121	-25.22377	91.94471	117.98215	-33.36047	-71.60296	104.96343	10.57771	-53.70222	-51.26121	-74.04397	0	-44.75185	0
122	-24.4101	92.75838	117.16848	-34.17414	-70.78929	104.96343	16.2734	-50.44754	-48.8202	-76.48498	0.81367	-50.44754	0
123	-22.78276	91.13104	114.72747	-34.98781	-69.16195	103.33609	23.59643	-45.56552	-46.37919	-79.73966	0	-56.9569	0
124	-21.96909	89.5037	111.47279	-34.17414	-66.72094	100.89508	30.10579	-40.6835	-42.31084	-82.99434	-1.62734	-62.65259	0
125	-20.34175	87.87636	108.21811	-34.17414	-64.27993	97.6404	36.61515	-35.80148	-38.24249	-84.62168	-2.44101	-66.72094	0
126	-17.90074	86.24902	104.14976	-34.17414	-61.02525	95.19939	40.6835	-31.73313	-34.98781	-87.06269	-3.25468	-69.16195	0
127	-14.64606	84.62168	100.08141	-35.80148	-57.77057	91.94471	42.31084	-29.29212	-33.36047	-87.87636	-3.25468	-69.16195	0
128	-10.57771	84.62168	95.19939	-37.42882	-53.70222	89.5037	39.05616	-29.29212	-32.5468	-87.87636	-2.44101	-65.90727	0
129	-5.69569	84.62168	90.31737	-39.86983	-48.8202	87.87636	30.91946	-31.73313	-34.17414	-87.87636	0	-61.02525	0
130	0	86.24902	86.24902	-43.12451	-43.12451	86.24902	18.71441	-38.24249	-37.42882	-87.06269	1.62734	-55.32956	0
131	4.88202	87.87636	82.18067	-47.19286	-38.24249	85.43535	1.62734	-47.19286	-43.12451	-86.24902	4.06835	-48.8202	0
132	10.57771	90.31737	78.92599	-51.26121	-34.17414	84.62168	-17.90074	-59.39791	-49.63387	-86.24902	5.69569	-42.31084	0
133	14.64606	91.94471	76.48498	-53.70222	-30.91946	83.80801	-39.86983	-73.2303	-57.77057	-86.24902	6.50936	-38.24249	0
134	17.08707	91.94471	74.04397	-55.32956	-28.47845	82.99434	-62.65259	-87.06269	-66.72094	-87.87636	6.50936	-34.98781	0
135	18.71441	91.94471	72.41663	-56.14323	-26.85111	82.18067	-84.62168	-102.52242	-76.48498	-91.13104	4.06835	-34.17414	0
136	19.52808	91.94471	71.60296	-56.14323	-26.03744	81.367	-104.96343	-117.16848	-87.87636	-96.01306	0	-34.98781	0
137	20.34175	91.13104	69.97562	-56.14323	-25.22377	80.55333	-122.86417	-132.62821	-101.70875	-103.33609	-7.32303	-39.05616	0
138	21.15542	90.31737	68.34828	-56.9569	-23.59643	79.73966	-139.95124	-148.90161	-117.16848	-113.9138	-17.90074	-44.75185	0
139	21.96909	89.5037	65.90727	-56.9569	-21.96909	77.29865	-153.78363	-165.17501	-134.25555	-126.93252	-30.10579	-52.07488	0
140	24.4101	86.24902	61.83892	-56.14323	-18.71441	74.04397	-165.98868	-179.82107	-150.52895	-139.95124	-43.12451	-60.21158	0
141	26.85111	82.18067	54.51589	-55.32956	-13.83239	68.34828	-174.12538	-192.02612	-165.17501	-152.15629	-55.32956	-66.72094	0
142	29.29212	74.85764	43.93818	-52.88855	-7.32303	59.39791	-178.19373	-199.34915	-175.75272	-161.10666	-65.0936	-71.60296	0
