samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	-67.53461	-111.47279	-43.93818	87.06269	-13.83239	-77.29865	104.14976	-57.77057	-131.81454	-205.85851	-208.29952	-174.12538	0
1	-67.53461	-116.35481	-48.8202	89.5037	-11.39138	-82.18067	99.26774	-60.21158	-134.25555	-208.29952	-213.18154	-176.56639	0
2	-72.41663	-123.67784	-51.26121	96.82673	-11.39138	-87.06269	91.94471	-69.97562	-144.01959	-215.62255	-222.94558	-188.77144	0
3	-69.97562	-123.67784	-53.70222	94.38572	-8.95037	-89.5037	84.62168	-72.41663	-148.90161	-215.62255	-222.94558	-193.65346	0
4	-77.29865	-133.44188	-56.14323	104.14976	-11.39138	-94.38572	77.29865	-77.29865	-153.78363	-215.62255	-227.8276	-200.97649	0
5	-87.06269	-150.52895	-63.46626	116.35481	-13.83239	-106.59077	72.41663	-82.18067	-158.66565	-215.62255	-230.26861	-203.4175	0
6	-87.06269	-162.734	-75.67131	123.67784	-6.50936	-118.79582	67.53461	-87.06269	-165.98868	-218.06356	-235.15063	-208.29952	0
7	-87.06269	-174.93905	-87.87636	128.55986	-1.62734	-131.00087	60.21158	-87.06269	-170.8707	-220.50457	-237.59164	-210.74053	0
8	-72.41663	-177.38006	-104.96343	123.67784	16.2734	-140.76491	60.21158	-87.06269	-168.42969	-225.38659	-237.59164	-208.29952	0
9	-65.0936	-174.93905	-109.84545	118.79582	21.15542	-143.20592	55.32956	-89.5037	-170.8707	-235.15063	-242.47366	-205.85851	0
10	-60.21158	-174.93905	-114.72747	116.35481	26.03744	-145.64693	48.00653	-96.82673	-175.75272	-249.79669	-249.79669	-205.85851	0
11	-50.44754	-170.05703	-119.60949	109.03178	33.36047	-145.64693	43.12451	-106.59077	-185.51676	-257.11972	-262.00174	-210.74053	0
12	-50.44754	-172.49804	-122.0505	109.03178	35.80148	-148.08794	40.6835	-118.79582	-195.2808	-266.88376	-271.76578	-222.94558	0
