samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	5.69569	-69.16195	-74.85764	30.10579	39.05616	-71.60296	-77.29865	-144.83326	-118.79582	-23.59643	-27.66478	34.98781	0
1	5.69569	-71.60296	-77.29865	32.5468	41.49717	-74.04397	-77.29865	-144.83326	-121.23683	-23.59643	-27.66478	34.98781	0
2	8.1367	-71.60296	-79.73966	30.10579	43.93818	-74.04397	-79.73966	-144.83326	-121.23683	-23.59643	-27.66478	37.42882	0
3	8.1367	-76.48498	-84.62168	32.5468	46.37919	-78.92599	-79.73966	-144.83326	-121.23683	-26.03744	-27.66478	37.42882	0
4	5.69569	-78.92599	-84.62168	34.98781	43.93818	-81.367	-79.73966	-144.83326	-123.67784	-30.91946	-32.5468	32.5468	0
5	5.69569	-81.367	-87.06269	37.42882	46.37919	-83.80801	-82.18067	-147.27427	-123.67784	-35.80148	-34.98781	30.10579	0
6	5.69569	-83.80801	-89.5037	37.42882	46.37919	-86.24902	-82.18067	-147.27427	-126.11885	-38.24249	-39.86983	27.66478	0
7	5.69569	-86.24902	-91.94471	39.86983	48.8202	-88.69003	-82.18067	-144.83326	-123.67784	-38.24249	-37.42882	27.66478	0
8	5.69569	-83.80801	-89.5037	37.42882	46.37919	-86.24902	-82.18067	-142.39225	-121.23683	-33.36047	-34.98781	27.66478	0
9	3.25468	-78.92599	-82.18067	37.42882	41.49717	-78.92599	-77.29865	-137.51023	-116.35481	-33.36047	-32.5468	30.10579	0
10	8.1367	-76.48498	-84.62168	32.5468	46.37919	-78.92599	-77.29865	-137.51023	-116.35481	-33.36047	-32.5468	30.10579	0
11	13.01872	-74.04397	-87.06269	30.10579	48.8202	-78.92599	-79.73966	-137.51023	-116.35481	-33.36047	-32.5468	30.10579	0
12	20.34175	-66.72094	-87.06269	22.78276	53.70222	-76.48498	-79.73966	-137.51023	-118.79582	-30.91946	-32.5468	32.5468	0
13	20.34175	-59.39791	-79.73966	17.90074	48.8202	-69.16195	-74.85764	-132.62821	-111.47279	-26.03744	-27.66478	37.42882	0
14	15.45973	-52.07488	-67.53461	17.90074	41.49717	-59.39791	-67.53461	-125.30518	-104.14976	-21.15542	-20.34175	44.75185	0
15	8.1367	-47.19286	-55.32956	17.90074	31.73313	-49.63387	-60.21158	-117.98215	-94.38572	-18.71441	-15.45973	49.63387	0
16	8.1367	-39.86983	-48.00653	15.45973	26.85111	-42.31084	-55.32956	-113.10013	-89.5037	-16.2734	-15.45973	52.07488	0
17	8.1367	-32.5468	-40.6835	10.57771	24.4101	-34.98781	-50.44754	-110.65912	-87.06269	-13.83239	-13.01872	52.07488	0
18	8.1367	-25.22377	-33.36047	8.1367	19.52808	-27.66478	-48.00653	-105.7771	-82.18067	-11.39138	-13.01872	49.63387	0
19	5.69569	-20.34175	-26.03744	5.69569	14.64606	-22.78276	-43.12451	-103.33609	-77.29865	-8.95037	-13.01872	52.07488	0
20	5.69569	-13.01872	-18.71441	2.44101	12.20505	-15.45973	-35.80148	-98.45407	-72.41663	-8.95037	-10.57771	52.07488	0
21	0	-8.1367	-8.95037	2.44101	4.06835	-8.1367	-33.36047	-98.45407	-69.97562	-8.95037	-10.57771	49.63387	0
22	0	-8.1367	-8.95037	2.44101	4.06835	-8.1367	-33.36047	-98.45407	-72.41663	-8.95037	-15.45973	44.75185	0
23	8.1367	-8.1367	-16.2734	0	12.20505	-10.57771	-33.36047	-98.45407	-72.41663	-11.39138	-17.90074	42.31084	0
24	15.45973	-2.44101	-18.71441	-7.32303	17.08707	-10.57771	-33.36047	-98.45407	-72.41663	-13.83239	-20.34175	39.86983	0
25	10.57771	0	-11.39138	-4.88202	12.20505	-4.88202	-28.47845	-96.01306	-67.53461	-13.83239	-20.34175	42.31084	0
26	10.57771	2.44101	-8.95037	-7.32303	9.76404	-2.44101	-26.03744	-93.57205	-65.0936	-11.39138	-17.90074	42.31084	0
27	10.57771	4.88202	-5.69569	-7.32303	9.76404	0	-23.59643	-93.57205	-62.65259	-8.95037	-15.45973	42.31084	0
28	10.57771	7.32303	-3.25468	-9.76404	7.32303	2.44101	-21.15542	-91.13104	-60.21158	-5.69569	-15.45973	42.31084	0
29	13.01872	9.76404	-3.25468	-12.20505	9.76404	4.88202	-23.59643	-91.13104	-60.21158	-5.69569	-13.01872	42.31084	0
30	20.34175	9.76404	-11.39138	-14.64606	17.08707	0	-26.03744	-88.69003	-55.32956	-3.25468	-10.57771	44.75185	0
31	20.34175	14.64606	-5.69569	-17.08707	14.64606	4.88202	-26.03744	-86.24902	-52.88855	1.62734	-5.69569	49.63387	0
32	13.01872	14.64606	1.62734	-14.64606	7.32303	9.76404	-30.91946	-86.24902	-52.88855	4.06835	-2.44101	54.51589	0
33	20.34175	14.64606	-5.69569	-17.08707	14.64606	4.88202	-43.12451	-91.13104	-55.32956	4.06835	-2.44101	54.51589	0
34	25.22377	17.08707	-8.95037	-21.96909	17.08707	4.88202	-50.44754	-91.13104	-55.32956	4.06835	0	54.51589	0
35	25.22377	17.08707	-8.95037	-21.96909	17.08707	4.88202	-62.65259	-93.57205	-55.32956	4.06835	2.44101	56.9569	0
36	27.66478	17.08707	-11.39138	-21.96909	19.52808	4.88202	-72.41663	-96.01306	-55.32956	8.95037	7.32303	61.83892	0
37	27.66478	19.52808	-8.95037	-24.4101	19.52808	7.32303	-79.73966	-93.57205	-50.44754	13.83239	12.20505	64.27993	0
38	20.34175	24.4101	4.06835	-21.96909	9.76404	14.64606	-87.06269	-91.13104	-48.00653	21.15542	17.08707	66.72094	0
39	25.22377	29.29212	4.06835	-26.85111	12.20505	17.08707	-94.38572	-93.57205	-50.44754	21.15542	21.96909	71.60296	0
40	37.42882	34.17414	-3.25468	-36.61515	21.96909	17.08707	-106.59077	-100.89508	-52.88855	23.59643	21.96909	71.60296	0
41	44.75185	34.17414	-11.39138	-39.05616	29.29212	12.20505	-113.9138	-103.33609	-55.32956	26.03744	24.4101	71.60296	0
42	44.75185	34.17414	-11.39138	-39.05616	29.29212	12.20505	-116.35481	-103.33609	-55.32956	28.47845	26.85111	74.04397	0
43	49.63387	36.61515	-13.83239	-43.93818	31.73313	12.20505	-116.35481	-103.33609	-55.32956	33.36047	26.85111	76.48498	0
44	54.51589	36.61515	-18.71441	-46.37919	36.61515	9.76404	-118.79582	-103.33609	-55.32956	33.36047	29.29212	76.48498	0
45	59.39791	31.73313	-28.47845	-46.37919	43.93818	2.44101	-123.67784	-105.7771	-55.32956	33.36047	26.85111	76.48498	0
46	61.83892	29.29212	-33.36047	-46.37919	48.8202	0	-123.67784	-103.33609	-57.77057	38.24249	26.85111	76.48498	0
47	69.16195	24.4101	-45.56552	-46.37919	58.58424	-10.57771	-123.67784	-100.89508	-52.88855	40.6835	31.73313	76.48498	0
48	69.16195	19.52808	-50.44754	-43.93818	61.02525	-15.45973	-121.23683	-96.01306	-48.00653	45.56552	31.73313	76.48498	0
49	64.27993	12.20505	-52.88855	-39.05616	58.58424	-20.34175	-113.9138	-88.69003	-38.24249	50.44754	36.61515	78.92599	0
50	64.27993	7.32303	-57.77057	-36.61515	61.02525	-25.22377	-111.47279	-83.80801	-33.36047	55.32956	41.49717	81.367	0
51	64.27993	2.44101	-62.65259	-34.17414	63.46626	-30.10579	-109.03178	-81.367	-33.36047	57.77057	41.49717	83.80801	0
52	61.83892	0	-62.65259	-31.73313	63.46626	-30.10579	-104.14976	-76.48498	-30.91946	57.77057	43.93818	83.80801	0
53	61.83892	-4.88202	-67.53461	-29.29212	65.90727	-34.98781	-99.26774	-74.04397	-28.47845	57.77057	43.93818	83.80801	0
54	56.9569	-13.01872	-69.97562	-21.96909	63.46626	-39.86983	-96.82673	-74.04397	-26.03744	52.88855	41.49717	78.92599	0
55	49.63387	-22.78276	-72.41663	-14.64606	61.02525	-47.19286	-94.38572	-76.48498	-30.91946	45.56552	36.61515	74.04397	0
56	34.98781	-30.10579	-65.0936	-2.44101	48.8202	-47.19286	-91.94471	-78.92599	-33.36047	38.24249	29.29212	69.16195	0
57	30.10579	-32.5468	-62.65259	0	46.37919	-47.19286	-89.5037	-81.367	-38.24249	30.91946	24.4101	64.27993	0
58	22.78276	-37.42882	-60.21158	5.69569	41.49717	-47.19286	-87.06269	-88.69003	-45.56552	21.15542	17.08707	54.51589	0
59	20.34175	-42.31084	-62.65259	10.57771	41.49717	-52.07488	-84.62168	-91.13104	-50.44754	11.39138	7.32303	44.75185	0
60	15.45973	-52.07488	-67.53461	17.90074	41.49717	-59.39791	-82.18067	-93.57205	-55.32956	1.62734	0	37.42882	0
61	5.69569	-61.83892	-67.53461	27.66478	36.61515	-64.27993	-82.18067	-98.45407	-60.21158	-8.95037	-8.1367	30.10579	0
62	0	-64.27993	-65.0936	30.10579	31.73313	-64.27993	-79.73966	-98.45407	-65.0936	-11.39138	-10.57771	25.22377	0
63	-4.88202	-66.72094	-62.65259	34.98781	29.29212	-64.27993	-77.29865	-98.45407	-62.65259	-13.83239	-13.01872	22.78276	0
64	-4.88202	-69.16195	-65.0936	34.98781	29.29212	-66.72094	-74.85764	-98.45407	-62.65259	-18.71441	-15.45973	22.78276	0
65	-9.76404	-74.04397	-65.0936	39.86983	26.85111	-69.16195	-72.41663	-98.45407	-62.65259	-21.15542	-17.90074	20.34175	0
66	-12.20505	-76.48498	-65.0936	42.31084	26.85111	-71.60296	-69.97562	-96.01306	-60.21158	-23.59643	-17.90074	20.34175	0
67	-14.64606	-81.367	-67.53461	47.19286	26.85111	-74.04397	-69.97562	-96.01306	-60.21158	-23.59643	-17.90074	17.90074	0
68	-14.64606	-83.80801	-69.97562	47.19286	26.85111	-76.48498	-69.97562	-98.45407	-60.21158	-28.47845	-22.78276	13.01872	0
69	-12.20505	-83.80801	-72.41663	47.19286	29.29212	-78.92599	-69.97562	-98.45407	-62.65259	-30.91946	-25.22377	8.1367	0
70	-12.20505	-83.80801	-72.41663	47.19286	29.29212	-78.92599	-69.97562	-98.45407	-62.65259	-33.36047	-27.66478	3.25468	0
71	-4.88202	-81.367	-77.29865	42.31084	36.61515	-78.92599	-72.41663	-100.89508	-62.65259	-35.80148	-30.10579	0	0
72	0	-81.367	-82.18067	39.86983	41.49717	-81.367	-72.41663	-100.89508	-67.53461	-38.24249	-32.5468	-2.44101	0
73	0	-86.24902	-87.06269	42.31084	43.93818	-86.24902	-72.41663	-98.45407	-65.0936	-38.24249	-32.5468	-2.44101	0
74	-2.44101	-88.69003	-87.06269	44.75185	41.49717	-88.69003	-72.41663	-98.45407	-62.65259	-43.12451	-32.5468	-4.88202	0
75	-7.32303	-91.13104	-84.62168	47.19286	39.05616	-88.69003	-72.41663	-96.01306	-62.65259	-43.12451	-32.5468	-4.88202	0
76	-17.08707	-93.57205	-77.29865	54.51589	29.29212	-86.24902	-67.53461	-91.13104	-57.77057	-40.6835	-27.66478	-2.44101	0
77	-17.08707	-93.57205	-77.29865	54.51589	29.29212	-86.24902	-65.0936	-86.24902	-55.32956	-38.24249	-22.78276	0	0
78	-14.64606	-91.13104	-77.29865	52.07488	31.73313	-83.80801	-65.0936	-83.80801	-55.32956	-38.24249	-20.34175	0	0
79	-17.08707	-93.57205	-77.29865	54.51589	29.29212	-86.24902	-62.65259	-81.367	-40.6835	-40.6835	-20.34175	0	0
80	-24.4101	-100.89508	-77.29865	61.83892	26.85111	-88.69003	-57.77057	-74.04397	-43.12451	-40.6835	-20.34175	0	0
81	-26.85111	-108.21811	-82.18067	66.72094	26.85111	-96.01306	-55.32956	-86.24902	-57.77057	-43.12451	-20.34175	0	0
82	-21.96909	-120.42316	-99.26774	69.16195	39.05616	-110.65912	-55.32956	-83.80801	-62.65259	-48.00653	-27.66478	-7.32303	0
83	-17.08707	-132.62821	-116.35481	74.04397	48.8202	-125.30518	-55.32956	-66.72094	-48.00653	-55.32956	-32.5468	-12.20505	0
84	-12.20505	-142.39225	-131.00087	76.48498	58.58424	-137.51023	-55.32956	-44.75185	-38.24249	-52.88855	-37.42882	-17.08707	0
85	-7.32303	-152.15629	-145.64693	78.92599	68.34828	-149.71528	-62.65259	-59.39791	-101.70875	-72.41663	-49.63387	-26.85111	0
86	-26.85111	-200.97649	-174.93905	113.10013	73.2303	-188.77144	-60.21158	-66.72094	-84.62168	-79.73966	-54.51589	-29.29212	0
87	-4.88202	-198.53548	-194.46713	100.89508	95.19939	-196.09447	-60.21158	-127.74619	-123.67784	-87.06269	-59.39791	-29.29212	0
88	-21.96909	-200.97649	-179.82107	110.65912	78.11232	-191.21245	-69.97562	-203.4175	-192.02612	-91.94471	-56.9569	-26.85111	0
89	8.1367	-169.24336	-177.38006	78.92599	92.75838	-171.68437	-94.38572	-332.79103	-321.39965	-62.65259	-39.86983	-9.76404	0
90	-7.32303	-137.51023	-131.00087	71.60296	61.02525	-135.06922	-140.76491	-474.36961	-462.97823	-30.91946	-8.1367	25.22377	0
91	52.07488	-142.39225	-194.46713	44.75185	122.0505	-166.80235	-152.96996	-540.27688	-541.09055	-3.25468	36.61515	49.63387	0
92	54.51589	-127.74619	-182.26208	34.98781	117.16848	-154.5973	-192.02612	-554.92294	-543.53156	52.88855	63.46626	74.04397	0
93	105.7771	-76.48498	-182.26208	-14.64606	144.01959	-127.74619	-189.58511	-501.22072	-467.86025	121.23683	134.25555	130.1872	0
94	164.36134	-4.88202	-170.05703	-80.55333	168.42969	-86.24902	-179.82107	-406.02133	-331.16369	223.75925	217.24989	191.21245	0
95	240.03265	73.2303	-167.61602	-156.22464	205.04484	-47.19286	-199.34915	-384.05224	-257.93339	331.16369	292.9212	262.00174	0
96	232.70962	173.31171	-60.21158	-202.60383	146.4606	58.58424	-350.69177	-603.74314	-382.4249	465.41924	412.53069	357.20113	0
97	274.20679	366.1515	91.94471	-319.77231	92.75838	229.45494	-509.35742	-930.83848	-545.97257	577.7057	515.05311	447.5185	0
98	264.44275	512.6121	248.16935	-388.12059	9.76404	380.79756	-658.25903	-1267.69786	-765.66347	655.81802	595.60644	510.98476	0
99	281.52982	661.51371	379.98389	-471.11493	-49.63387	522.37614	-780.30953	-1597.23421	-1007.32346	709.52024	639.54462	557.36395	0
