samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
0	-70.78929	71.60296	141.57858	-1.62734	-104.96343	104.96343	42.31084	-170.8707	-40.6835	-161.92033	-136.69656	-50.44754	0
1	-63.46626	74.04397	136.69656	-6.50936	-100.08141	104.96343	39.86983	-175.75272	-38.24249	-159.47932	-134.25555	-50.44754	0
2	-61.02525	78.92599	139.13757	-8.95037	-100.08141	107.40444	34.98781	-180.63474	-38.24249	-154.5973	-134.25555	-50.44754	0
3	-63.46626	81.367	144.01959	-8.95037	-102.52242	112.28646	32.5468	-180.63474	-35.80148	-152.15629	-129.37353	-45.56552	0
4	-65.90727	86.24902	151.34262	-11.39138	-107.40444	117.16848	32.5468	-165.98868	-28.47845	-144.83326	-122.0505	-38.24249	0
5	-58.58424	96.01306	153.78363	-18.71441	-104.96343	124.49151	32.5468	-146.4606	-21.15542	-139.95124	-114.72747	-33.36047	0
6	-46.37919	103.33609	148.90161	-28.47845	-97.6404	124.49151	30.10579	-126.93252	-18.71441	-139.95124	-109.84545	-33.36047	0
7	-53.70222	98.45407	151.34262	-23.59643	-102.52242	124.49151	30.10579	-112.28646	-18.71441	-139.95124	-104.96343	-33.36047	0
8	-48.8202	93.57205	141.57858	-23.59643	-95.19939	117.16848	27.66478	-104.96343	-18.71441	-139.95124	-107.40444	-35.80148	0
9	-26.85111	100.89508	126.93252	-38.24249	-75.67131	112.28646	25.22377	-102.52242	-18.71441	-139.95124	-109.84545	-35.80148	0
10	-9.76404	103.33609	112.28646	-48.00653	-61.02525	107.40444	22.78276	-107.40444	-23.59643	-144.83326	-114.72747	-40.6835	0
11	-14.64606	93.57205	107.40444	-40.6835	-61.02525	100.08141	14.64606	-126.93252	-30.91946	-152.15629	-124.49151	-48.00653	0
12	-26.85111	83.80801	109.84545	-28.47845	-68.34828	95.19939	9.76404	-146.4606	-38.24249	-157.03831	-131.81454	-50.44754	0
13	-34.17414	74.04397	107.40444	-21.15542	-70.78929	90.31737	-2.44101	-158.66565	-43.12451	-161.92033	-136.69656	-50.44754	0
14	-34.17414	74.04397	107.40444	-21.15542	-70.78929	90.31737	-9.76404	-165.98868	-48.00653	-164.36134	-139.13757	-50.44754	0
15	-31.73313	78.92599	109.84545	-23.59643	-70.78929	92.75838	-12.20505	-165.98868	-48.00653	-164.36134	-136.69656	-50.44754	0
16	-36.61515	78.92599	114.72747	-21.15542	-75.67131	95.19939	-19.52808	-163.54767	-48.00653	-166.80235	-136.69656	-52.88855	0
17	-36.61515	78.92599	114.72747	-21.15542	-75.67131	95.19939	-26.85111	-163.54767	-48.00653	-166.80235	-134.25555	-52.88855	0
18	-26.85111	81.367	107.40444	-28.47845	-65.90727	92.75838	-34.17414	-168.42969	-50.44754	-169.24336	-134.25555	-52.88855	0
19	-4.88202	91.13104	95.19939	-43.12451	-48.8202	92.75838	-41.49717	-175.75272	-52.88855	-166.80235	-136.69656	-50.44754	0
20	15.45973	100.89508	85.43535	-57.77057	-34.17414	92.75838	-41.49717	-183.07575	-48.00653	-164.36134	-134.25555	-45.56552	0
21	17.90074	98.45407	80.55333	-57.77057	-31.73313	90.31737	-41.49717	-192.83979	-50.44754	-161.92033	-134.25555	-40.6835	0
22	25.22377	91.13104	65.90727	-57.77057	-19.52808	78.11232	-46.37919	-209.92686	-55.32956	-166.80235	-141.57858	-40.6835	0
23	39.86983	83.80801	43.93818	-62.65259	-2.44101	63.46626	-48.8202	-222.13191	-62.65259	-171.68437	-148.90161	-43.12451	0
24	47.19286	76.48498	29.29212	-62.65259	10.57771	53.70222	-51.26121	-227.01393	-69.97562	-174.12538	-151.34262	-48.00653	0
25	44.75185	66.72094	21.96909	-55.32956	13.01872	43.93818	-51.26121	-227.01393	-72.41663	-176.56639	-151.34262	-52.88855	0
26	34.98781	49.63387	14.64606	-43.12451	10.57771	31.73313	-51.26121	-227.01393	-79.73966	-181.44841	-158.66565	-62.65259	0
27	30.10579	32.5468	2.44101	-30.91946	15.45973	17.08707	-56.14323	-231.89595	-89.5037	-188.77144	-163.54767	-72.41663	0
28	20.34175	20.34175	-0.81367	-21.15542	10.57771	9.76404	-53.70222	-231.89595	-94.38572	-188.77144	-165.98868	-77.29865	0
29	8.1367	15.45973	7.32303	-11.39138	0	12.20505	-51.26121	-231.89595	-94.38572	-188.77144	-165.98868	-77.29865	0
30	0	10.57771	9.76404	-6.50936	-4.88202	9.76404	-48.8202	-236.77797	-96.82673	-188.77144	-168.42969	-77.29865	0
31	-2.44101	3.25468	4.88202	-1.62734	-2.44101	2.44101	-46.37919	-244.101	-99.26774	-191.21245	-170.8707	-79.73966	0
32	-4.88202	-4.88202	-0.81367	4.06835	-2.44101	-3.25468	-43.93818	-253.86504	-104.14976	-191.21245	-175.75272	-82.18067	0
33	-9.76404	-9.76404	-0.81367	8.95037	-4.88202	-5.69569	-41.49717	-256.30605	-106.59077	-193.65346	-178.19373	-82.18067	0
34	-7.32303	-4.88202	2.44101	4.06835	-4.88202	-3.25468	-36.61515	-253.86504	-109.03178	-191.21245	-178.19373	-84.62168	0
35	-9.76404	-7.32303	2.44101	6.50936	-7.32303	-3.25468	-36.61515	-248.98302	-109.03178	-191.21245	-178.19373	-89.5037	0
36	-2.44101	-12.20505	-10.57771	6.50936	3.25468	-13.01872	-36.61515	-246.54201	-113.9138	-193.65346	-185.51676	-96.82673	0
37	-7.32303	-17.08707	-10.57771	11.39138	0	-15.45973	-36.61515	-241.65999	-116.35481	-193.65346	-185.51676	-101.70875	0
38	-19.52808	-24.4101	-5.69569	21.15542	-7.32303	-15.45973	-34.17414	-241.65999	-118.79582	-193.65346	-187.95777	-104.14976	0
39	-24.4101	-29.29212	-5.69569	26.03744	-9.76404	-17.90074	-34.17414	-244.101	-121.23683	-193.65346	-190.39878	-106.59077	0
40	-29.29212	-41.49717	-13.01872	33.36047	-9.76404	-27.66478	-34.17414	-251.42403	-123.67784	-198.53548	-195.2808	-111.47279	0
41	-36.61515	-61.02525	-25.22377	48.00653	-7.32303	-44.75185	-39.05616	-263.62908	-128.55986	-200.97649	-200.16282	-116.35481	0
42	-46.37919	-73.2303	-27.66478	57.77057	-9.76404	-52.07488	-39.05616	-275.83413	-133.44188	-203.4175	-202.60383	-121.23683	0
43	-51.26121	-85.43535	-34.98781	67.53461	-9.76404	-61.83892	-36.61515	-278.27514	-135.88289	-203.4175	-202.60383	-123.67784	0
44	-46.37919	-90.31737	-44.75185	67.53461	-2.44101	-69.16195	-36.61515	-278.27514	-135.88289	-203.4175	-202.60383	-128.55986	0
45	-41.49717	-92.75838	-52.07488	65.0936	5.69569	-74.04397	-36.61515	-270.95211	-133.44188	-200.97649	-200.16282	-128.55986	0
46	-36.61515	-95.19939	-59.39791	65.0936	10.57771	-78.92599	-36.61515	-261.18807	-133.44188	-200.97649	-200.16282	-133.44188	0
47	-26.85111	-97.6404	-71.60296	60.21158	22.78276	-86.24902	-39.05616	-253.86504	-133.44188	-198.53548	-200.16282	-138.3239	0
48	-36.61515	-104.96343	-69.16195	69.97562	15.45973	-88.69003	-41.49717	-246.54201	-135.88289	-200.97649	-200.16282	-138.3239	0
49	-46.37919	-114.72747	-69.16195	79.73966	10.57771	-93.57205	-46.37919	-246.54201	-138.3239	-200.97649	-200.16282	-140.76491	0
50	-63.46626	-124.49151	-61.83892	91.94471	-2.44101	-93.57205	-46.37919	-246.54201	-140.76491	-200.97649	-202.60383	-140.76491	0
51	-70.78929	-131.81454	-61.83892	99.26774	-4.88202	-98.45407	-48.8202	-253.86504	-145.64693	-205.85851	-207.48585	-140.76491	0
52	-78.11232	-134.25555	-56.9569	104.14976	-12.20505	-96.01306	-46.37919	-263.62908	-148.08794	-205.85851	-207.48585	-138.3239	0
53	-87.87636	-134.25555	-47.19286	109.03178	-21.96909	-91.13104	-41.49717	-263.62908	-148.08794	-203.4175	-205.04484	-135.88289	0
54	-92.75838	-129.37353	-37.42882	109.03178	-29.29212	-83.80801	-34.17414	-258.74706	-143.20592	-196.09447	-197.72181	-133.44188	0
55	-95.19939	-119.60949	-25.22377	106.59077	-36.61515	-74.04397	-26.85111	-248.98302	-133.44188	-188.77144	-190.39878	-128.55986	0
56	-73.2303	-100.08141	-27.66478	84.62168	-24.4101	-64.27993	-21.96909	-239.21898	-126.11885	-179.0074	-180.63474	-123.67784	0
57	-56.14323	-85.43535	-30.10579	69.97562	-14.64606	-59.39791	-17.08707	-231.89595	-118.79582	-171.68437	-173.31171	-121.23683	0
58	-48.8202	-78.11232	-30.10579	62.65259	-9.76404	-54.51589	-12.20505	-222.13191	-113.9138	-164.36134	-168.42969	-116.35481	0
59	-39.05616	-73.2303	-34.98781	55.32956	-2.44101	-54.51589	-12.20505	-217.24989	-111.47279	-159.47932	-163.54767	-111.47279	0
60	-31.73313	-63.46626	-32.5468	45.56552	0	-49.63387	-9.76404	-214.80888	-109.03178	-154.5973	-161.10666	-106.59077	0
61	-14.64606	-53.70222	-39.86983	33.36047	13.01872	-47.19286	-9.76404	-214.80888	-111.47279	-154.5973	-161.10666	-104.14976	0
62	3.25468	-51.26121	-54.51589	23.59643	27.66478	-52.07488	-14.64606	-224.57292	-116.35481	-159.47932	-165.98868	-109.03178	0
63	-12.20505	-56.14323	-44.75185	33.36047	15.45973	-52.07488	-12.20505	-224.57292	-118.79582	-161.92033	-165.98868	-109.03178	0
64	-31.73313	-61.02525	-30.10579	45.56552	-2.44101	-47.19286	-12.20505	-231.89595	-121.23683	-161.92033	-165.98868	-111.47279	0
65	-48.8202	-68.34828	-20.34175	57.77057	-14.64606	-44.75185	-14.64606	-236.77797	-126.11885	-166.80235	-168.42969	-116.35481	0
66	-70.78929	-70.78929	-0.81367	69.97562	-36.61515	-37.42882	-14.64606	-246.54201	-131.00087	-169.24336	-170.8707	-118.79582	0
67	-87.87636	-70.78929	17.08707	77.29865	-53.70222	-27.66478	-14.64606	-261.18807	-140.76491	-176.56639	-173.31171	-118.79582	0
68	-117.16848	-73.2303	43.93818	94.38572	-80.55333	-15.45973	-17.08707	-283.15716	-157.85198	-186.33043	-180.63474	-118.79582	0
69	-141.57858	-70.78929	70.78929	104.14976	-107.40444	-0.81367	-19.52808	-307.56726	-177.38006	-198.53548	-185.51676	-111.47279	0
70	-134.25555	-48.8202	85.43535	89.5037	-109.84545	17.08707	-21.96909	-329.53635	-199.34915	-208.29952	-190.39878	-99.26774	0
